movie_title,movie_label,movie_link
Kaizoku Oujo-(Fena: Pirate Princess),1/12,https://animetv.night-city.online/1573-kaizoku_oujo-fena-pirate-princess-princesa-fena-mekobre-princesa-fena-qartulad.html
Ice Age: Scrat Tales,6/6,https://animetv.night-city.online/1572-didi-gamyinvareba-skratis-istoriebi-qartulad-ice-age-scrat-tales-qartulad-sqretis-istoriebi.html
Spy x Family,7,https://animetv.night-city.online/1568--jashushi-ojaxi-qartulad-spy-x-family-qartulad-jashushis-ojaxi-jashushi-da-ojaxi-qartulad.html
Edens zero,25/25,https://animetv.night-city.online/1530--edenszero-nulovani-edeni-qartulad.html
Seraph of the End,24/24,https://animetv.night-city.online/1373--ukanaskneli-serafimi-qartulad-seraph-of-the-end_battle_in_nagoya_owari_no_seraph.html
Shaman King,33,https://animetv.night-city.online/1538-shaman-king-2021-qartulad.html
Tate no Yuusha no Nariagari / The Rising of the Shield Hero / 盾の勇者の成り上がり,6,https://animetv.night-city.online/1330--tate_no_yuusha_no_nariagari_qartulad_faris_gmiri_qartuladthe-rising-of-the-shield-hero-season-2.html
ვანპისი,293,https://animetv.night-city.online/1289-one-piece-qartulad.html
Jujutsu Kaisen 0 Movie,ფილმი,https://animetv.night-city.online/1571-jujutsu-kaisen-0-movie-gekijouban-jujutsu-kaisen-0-qartulad.html
My Girlfriend Is an Agent,ფილმი,https://animetv.night-city.online/1570-my-girlfriend-is-an-agent-qartulad.html
Bubble/ バブル,ფილმი,https://animetv.night-city.online/1569--bushtuki-bushti-bubble-qartulad-.html
Futsal Boys/フットサルボーイズ,12/12,https://animetv.night-city.online/1565--futsal_boys_qartulad_futsalis_bichebi_qartulad.html
All of Us Are Dead,6/12,https://animetv.night-city.online/1562-all-of-us-are-dead-qartulad-yvela-cvengani-mkvdaria-qartulad.html
The Promised Neverland,23/23 + Special,https://animetv.night-city.online/1309--dapirebuli-neverlendi-qartulad-the-promised-neverland-qartulad-dapirebuli-ararsebuli-qveyana-qartulad.html
Zankyou no Terror / Terror in Resonance,11/11,https://animetv.night-city.online/1567-zankyou_no_terror_terror_in_resonance_terori_resonansshi_qartulad.html
Monster,9/74,https://animetv.night-city.online/1368-monster-qartulad.html
Vanitas no Carte,7,https://animetv.night-city.online/1547-vanitas-no-carte-qartulad.html
範馬刃牙 SON OF OGRE,12/12,https://animetv.night-city.online/1564--hanma-baki-son-of-ogre-qartulad.html
Attack on titan,28/28,https://animetv.night-city.online/1446-attack-on-titan-season-4-qartulad.html
Appare-Ranman,13/13,https://animetv.night-city.online/1364-appare.html
Sabikui Bisco,12/12,https://animetv.night-city.online/1560-sabikui-bisko-qartulad-jangis-mchameli-bisco-qartulad-rust-eater-bisco-qartulad-sabikui-bisco-qartulad.html
Orient オリエント,12/12,https://animetv.night-city.online/1559-orienti-qartulad-orient-qartulad.html
Kemono Jihen,12/12,https://animetv.night-city.online/1455--kemono-jihen-qartulad-kemonos-incidenti-qartulad.html
My Hero Academia: World Heroes' Mission,ფილმი,https://animetv.night-city.online/1563--boku_no_hero_academia_the_movie_3__world_heroes_mission_chemi_sagmiro_academia_msoflio_gmirebis_davaleba_qartulad.html
Demon Slayer,46/46,https://animetv.night-city.online/1311-demonebis-mkveti-xmali-qartulad-kimetsu-no-yaiba-demon-slayer-qartulad.html
,6/12,https://animetv.night-city.online/274-black-lagoon.html
Naruto,193/220,https://animetv.night-city.online/1293-naruto-qartulad-.html
2.43 seiin highschool boys volleyball club,12/12,https://animetv.night-city.online/1452-seiin-high-school-boys-volleyball-team-seinis-umaglesi-skolis-frenburti.html
Attack On Titan,1,https://animetv.night-city.online/1561--attack-on-titan-ganxilva-qartulad.html
Darling in the franxx,24/24,https://animetv.night-city.online/1197-sayvareli-franqsshi-darling-in-the-franxx-qartulad.html
Dororo | Dororo to Hyakkimaru,24/24,https://animetv.night-city.online/1296-dororo-dororo-qartulad.html
Masamune-kun no Revenge,12/+OVA,https://animetv.night-city.online/1524-masamunes-shurisdzieba-masamune-kun-no-revenge-qartulad.html
Ansatsu Kyoushitsu,22/22,https://animetv.night-city.online/1288-ansatsu-kyoushitsu-qartulad.html
Home!,OVA,https://animetv.night-city.online/1557-home.html
Baki,39/39,https://animetv.night-city.online/1383-baki.html
Tales of Zestiria,13/13,https://animetv.night-city.online/1376-tales-of-zestiria.html
The King's Avatar,24/+ 3,https://animetv.night-city.online/1394-the-kings-avatar.html
Boku no Hero Academia,113/113,https://animetv.night-city.online/1337-my-hero-academia.html
Golden Time,24/24,https://animetv.night-city.online/1464-oqros-dro-qartulad-golden-time-qartulad.html
Kiznaiver,12/12,https://animetv.night-city.online/1484-kiznaiver.html
Shikioriori,ფილმი,https://animetv.night-city.online/1553--.html
Kingsglaive: Final Fantasy XV,ფილმი,https://animetv.night-city.online/1552-kingsglaive-final-fantasy-xv-qartulad.html
Hotarubi no Mori e,ფილმი,https://animetv.night-city.online/19-hotarubi-no-mori-e.html
Fukumenkei Noise,12/12,https://animetv.night-city.online/1548--.html
,24/24,https://animetv.night-city.online/1540-tokios-shurismadzieblebi-qartulad-tokyo-revengers-qartulad-tokyos-shurismadzieblebi-qartulad.html
Shelter,OVA,https://animetv.night-city.online/915-shelter.html
Jibaku Shounen Hanako-kun,12/12,https://animetv.night-city.online/1544--.html
,3,https://animetv.night-city.online/1549-ra-moxdeboda-tu.html
WAVE !! SURFING YAPPE,12/12,https://animetv.night-city.online/1542-talga-qartulad.html
Genocidal Organ,ფილმი,https://animetv.night-city.online/1551-genocidal-organ-qartulad.html
Your Lie in April | Shigatsu wa Kimi no Uso,8/22,https://animetv.night-city.online/1537-your-lie-in-april.html
Kimetsu no Yaiba Movie: Mugen Ressha-hen | Demon slayer,ფილმი,https://animetv.night-city.online/1449-kimetsu-no-yaiba-movie-mugen-ressha-hen.html
Nijiiro Days,24/24,https://animetv.night-city.online/1546--.html
Garo: Vanishing Line,24/24,https://animetv.night-city.online/1097-garo.html
Great Pretender,23/23,https://animetv.night-city.online/1402--.html
Jackie Chan Adventures,13/13,https://animetv.night-city.online/1532--.html
Horimiya,13/13,https://animetv.night-city.online/1453-horimiya.html
Jujutsu Kaisen,24/24,https://animetv.night-city.online/1379--jujucu-kaiseni-qartulad-jujutsu-kaiseni-2020-qartulad-jujucu-jujutsu-kaisen-magiuri-brdzola-qartulad.html
Haikyuu!!: To the Top,85/85,https://animetv.night-city.online/1352-haikyuus4.html
Kekkai Sensen | Blood Blockade Battlefront,12/12,https://animetv.night-city.online/1382--.html
Kaichou wa Maid-sama!,26/26,https://animetv.night-city.online/1375--.html
Rascal Does Not Dream of Bunny Girl Senpai no Yume wo Minai,13/13,https://animetv.night-city.online/1417--bunnygirlsenpai.html
Tаmako Love Story,ფილმი,https://animetv.night-city.online/1545--tamakos-siyvarulis-istoria-tamako-love-story.html
To the abadoned sacred beasts,12/12,https://animetv.night-city.online/1536-to-the-abadoned-sacred-beasts.html
მეგალობოქსი,26/26,https://animetv.night-city.online/1181-megalo-box-qartulad.html
Yesterday wo Utatte,12/+6,https://animetv.night-city.online/1468-yesterday-wo-utatte.html
Nanatsu no taizai | 7 deadly sins,96/96,https://animetv.night-city.online/1335-7ds.html
Vinland saga,24/24,https://animetv.night-city.online/1321-vinland-saga.html
ikebukuro west gate park,12/12,https://animetv.night-city.online/1456--.html
Honobono Log,10/10,https://animetv.night-city.online/1543--.html
Ahiru no Sora,50/50,https://animetv.night-city.online/1334-ocnebis-gundi.html
Blood Lad,11/11,https://animetv.night-city.online/1388--.html
Yasuke,6/6,https://animetv.night-city.online/1541-yasuke-qartulad-iasuke-qartulad.html
Jujutsu Kaisen: Movie,TRAILER,https://animetv.night-city.online/1539--.html
Dota: Dragon's Blood,8/8,https://animetv.night-city.online/1534-dota-drakonis-sisxli-dota-dragons-blood-dota-qartulad.html
Black Clover,170/170,https://animetv.night-city.online/1301-black-clover-qartulad.html
Aya to Majo,ფილმი,https://animetv.night-city.online/1457-aya-da-jadoqari.html
Tsuki ga Kirei,12/12,https://animetv.night-city.online/980-tsuki-ga-kirei.html
Oresuki,12/12,https://animetv.night-city.online/1448--.html
The Millionaire Detective,11/11,https://animetv.night-city.online/1385--.html
Soul Eater,9/51,https://animetv.night-city.online/1461-soul-eater-.html
Promare,ფილმი,https://animetv.night-city.online/1467--promare.html
Rascal Does Not Dream of a Dreaming Girl,ფილმი,https://animetv.night-city.online/1462--.html
Hoshiai no Sora | Stars Align,12/12,https://animetv.night-city.online/1458-hoshiai-no-sora.html
Hello World,ფილმი,https://animetv.night-city.online/1460-hello-world.html
Tengen Toppa Gurren Lagann,12/27,https://animetv.night-city.online/1362-gurren-lagann.html
Noblesse,13/13,https://animetv.night-city.online/1406-noblesse-qartulad.html
Charlotte: OVA,OVA,https://animetv.night-city.online/1280-charlotte-ova.html
Brand New Animal,12/12,https://animetv.night-city.online/1428-brand-new-animal.html
prince of stride,12/12,https://animetv.night-city.online/1414--.html
Akudama Drive,2,https://animetv.night-city.online/1407-akudama-drive-qartulad.html
Arte,12/12,https://animetv.night-city.online/1374-arte-qartulad.html
Burn the Witch,ფილმი,https://animetv.night-city.online/1404-burn-the-witch.html
The God of High School,13/13,https://animetv.night-city.online/1386-the-god-of-high-school-qartulad.html
დ.გრეი-მენ გრეი-მენი,26/103,https://animetv.night-city.online/1247-dgray-man.html
big order,10/10,https://animetv.night-city.online/1389--.html
Boku no Hero Academia the Movie 2: Heroes:Rising,ფილმი,https://animetv.night-city.online/1396-boku-no-hero-academia-the-movie-2-heroesrising.html
Null Peta,12+OVA/12,https://animetv.night-city.online/1390-null-and-peta-qartulad.html
Weathering with you,ფილმი,https://animetv.night-city.online/1338-amindis-gogona.html
Tower Of God,13/13,https://animetv.night-city.online/1367--towerofgod.html
